Student Name,Student ID,City,Start Year,Birth Date,Average Grade,Score 1,Score 2,Score 3,Score 4,Score 5
Megan,676615553,Ashdod,2023,2005-03-01,93,1,5,1,4,2
Katherine,359993933,Jerusalem,2024,2005-04-16,78,1,1,1,3,3
Robert,907395136,Rishon Lezion,2024,2011-06-06,77,1,4,1,1,1
Jonathan,204417731,Rishon Lezion,2023,2017-10-18,89,2,1,2,2,3
William,260957515,Holon,2023,2008-04-23,80,1,1,1,1,5
Richard,17404311,Rosh Haain,2024,2003-10-08,62,4,4,4,2,5
Kristen,785430572,Rishon Lezion,2023,2020-02-01,65,2,2,2,2,1
Kevin,291024799,Ashdod,2024,2014-10-30,97,5,3,5,5,3
Thomas,125771988,Haifa,2024,2022-06-05,72,2,4,2,3,2
Brandy,757345666,Petah Tikva,2024,2005-09-23,62,3,3,3,3,1
Rebecca,236717701,Holon,2024,2000-03-25,87,5,4,5,4,3
William,399496590,Netanya,2023,2015-10-30,81,1,1,1,1,4
Juan,853176974,Ariel,2023,2022-12-17,99,1,4,1,4,5
Katelyn,183053408,Ariel,2023,2013-09-23,99,3,3,3,3,1
Christine,357057975,Tel Aviv,2024,2019-02-22,71,1,1,1,4,3
John,457554822,Netanya,2023,2017-01-31,82,5,4,5,3,4
Renee,876080016,Holon,2024,2010-05-18,90,5,2,5,3,5
Tonya,66778641,Holon,2024,2021-11-10,77,5,5,5,2,4
Lisa,108026499,Ariel,2024,2011-12-07,66,2,4,2,4,1
Rachel,840867096,Tel Aviv,2023,2013-01-01,67,2,2,2,2,3
Kyle,157151230,Ashdod,2024,2022-02-26,78,5,3,5,4,4
Jessica,918395671,Rosh Haain,2023,2008-04-26,88,2,2,2,3,4
Rachel,749118145,Ariel,2023,2004-12-31,79,2,5,2,3,4
Gabriella,234906321,Rosh Haain,2024,2018-11-08,89,4,2,4,5,2
Thomas,48569708,Petah Tikva,2023,2023-04-15,81,2,4,2,2,4
Craig,877376241,Rishon Lezion,2024,2000-03-15,69,4,2,4,1,3
Ryan,616183962,Jerusalem,2024,2015-05-13,85,4,4,4,4,3
Cheryl,680973951,Rishon Lezion,2023,2002-06-21,92,2,3,2,1,3
Robin,977122252,Ashdod,2023,2011-03-18,87,2,5,2,5,5
Tammy,573590699,Jerusalem,2024,2001-05-02,69,2,2,2,3,4
Thomas,646575638,Haifa,2023,2018-04-20,88,1,5,1,2,1
Michelle,730777019,Rishon Lezion,2024,2009-05-03,77,4,2,4,1,5
Jorge,79453567,Ariel,2023,2004-05-14,60,1,5,1,2,2
Linda,28665466,Tel Aviv,2024,2007-12-14,82,5,2,5,3,3
Ana,133620428,Rishon Lezion,2023,2016-03-04,76,2,3,2,2,2
Alexis,681825964,Rishon Lezion,2024,2011-10-07,96,5,3,5,2,5
Jennifer,202422473,Rishon Lezion,2023,2020-07-16,90,1,4,1,4,2
Raymond,651050912,Holon,2024,2009-07-29,84,4,2,4,1,5
Mallory,891298199,Jerusalem,2023,2022-09-10,63,3,3,3,5,2
Elizabeth,618424775,Tel Aviv,2023,2012-01-01,68,2,3,2,2,3
Aaron,128522037,Rosh Haain,2023,2019-11-12,87,5,5,5,2,4
Tristan,420057909,Rosh Haain,2024,2021-05-05,89,5,3,5,5,3
Mikayla,98281580,Jerusalem,2023,2020-11-29,83,5,3,5,1,3
John,397434735,Petah Tikva,2024,2004-04-13,92,1,4,1,3,3
Mark,895333637,Holon,2023,2024-02-17,79,1,1,1,4,4
Monica,124603597,Rishon Lezion,2024,2010-05-04,68,3,5,3,5,3
James,39075652,Haifa,2023,2012-12-25,67,1,3,1,2,5
Ashley,650155153,Holon,2023,2013-11-18,83,4,1,4,3,2
John,23232029,Haifa,2023,2021-12-04,73,4,1,4,4,4
Tammy,208940441,Jerusalem,2023,2002-07-12,77,5,3,5,5,1
Linda,198612106,Jerusalem,2023,1999-10-31,60,2,4,2,2,5
Seth,771068318,Petah Tikva,2024,2020-01-05,71,5,2,5,1,4
Christopher,133031422,Ashdod,2023,2006-04-28,88,4,4,4,5,2
Luke,514573218,Ashdod,2023,2023-07-20,96,4,3,4,2,4
William,226104806,Netanya,2024,2011-02-27,85,4,5,4,3,5
Sarah,780776980,Ariel,2023,2005-03-24,92,5,2,5,5,5
Daniel,859795110,Petah Tikva,2023,2007-12-05,74,3,2,3,4,1
Andrea,65589401,Tel Aviv,2023,2007-05-16,82,2,3,2,1,3
Jasmine,729443501,Petah Tikva,2024,2021-06-20,88,3,3,3,5,2
Amy,24462604,Rosh Haain,2023,2015-01-11,80,3,5,3,5,5
Lisa,584368327,Ariel,2023,2012-08-30,78,2,4,2,1,5
Amber,457004741,Tel Aviv,2024,2023-12-13,64,4,5,4,3,2
Tamara,666364150,Tel Aviv,2023,2022-09-15,82,4,3,4,4,5
Carrie,108985031,Holon,2024,2019-02-10,95,5,5,5,2,1
Briana,897543642,Rosh Haain,2023,2013-11-18,79,5,3,5,3,1
Sean,279086856,Rosh Haain,2023,2000-11-08,67,3,2,3,2,3
Caitlyn,75166546,Rishon Lezion,2024,2013-06-20,68,2,5,2,4,4
Paul,237113630,Netanya,2024,2023-08-30,73,2,1,2,3,2
Barbara,77279011,Holon,2023,2019-02-02,65,1,2,1,5,1
Kelly,694631206,Haifa,2023,2014-01-04,60,1,1,1,3,1
Jaime,323262367,Jerusalem,2023,2022-04-24,68,3,3,3,2,1
Jacob,376125286,Rishon Lezion,2024,2023-11-27,75,5,1,5,5,1
Chloe,468225146,Ashdod,2024,2001-05-16,75,4,4,4,1,3
Diane,193614873,Rosh Haain,2023,2005-06-01,71,4,3,4,3,5
Thomas,65543823,Petah Tikva,2023,2014-12-07,64,3,1,3,3,1
Christopher,540775579,Petah Tikva,2023,2001-12-14,99,2,3,2,5,3
Katherine,501578337,Netanya,2023,2008-08-07,88,1,4,1,3,4
Nancy,42282562,Petah Tikva,2023,2023-08-26,86,5,1,5,5,5
Sandra,640470811,Petah Tikva,2024,2005-02-22,70,2,1,2,1,4
Megan,108363356,Rishon Lezion,2023,2014-12-20,87,5,2,5,3,5
Rachael,750892480,Petah Tikva,2024,2017-09-24,95,5,1,5,2,5
Sandra,420129618,Petah Tikva,2023,2016-05-11,78,3,1,3,3,5
Amber,214056651,Ariel,2023,2018-11-18,94,1,3,1,5,3
Peter,279315953,Petah Tikva,2023,2020-04-30,90,1,4,1,5,2
Janet,384995823,Rishon Lezion,2024,1999-10-14,78,4,5,4,2,4
Joshua,971090637,Holon,2024,2001-02-07,83,2,4,2,2,5
Lisa,785547698,Ashdod,2024,2016-08-10,61,2,4,2,5,5
